Name,Description
Alchemy Partners,"Alchemy Partners is a British private equity firm, which specialises in investing in distressed and undervalued or underperforming businesses and other special situations through debt and equity throughout Europe.  
Alchemy was founded in 1997 by Martin Bolland, Robert Barnes and Jon Moulton. Before launching dedicated distressed vehicles, it invested in other transactions. Notable transactions included Four Seasons Health Care, Alcentra and Phoenix IT.
Alchemy came to public notice in 1999, when it was negotiating to buy Rover Group from BMW; its advisory board members included former Rover MD Kevin Morley. After public protests, the discussions were abandoned when the government imposed additional conditions to the transaction.
Alchemy launched its first distressed debt fund, Alchemy Special Opportunities, in 2006 with a final close of £300m.
Moulton resigned from Alchemy in September 2009, saying that he disagreed with plans by other partners to turn Alchemy into a specialist financial services firm. 
Alchemy raised £500m for the second distressed debt fund in 2010 and £600m for Alchemy Special Opportunities Fund III in March 2014. A fourth fund was announced in August 2017, with a final close of $1.2bn in October 2018.
The Funds invest in the debt and equity of public and private companies in the UK and continental Europe. Funding is provided by a large number of blue-chip investors including major banks, pension funds, fund-of-funds, university endowments and high-net-worth individuals. Today the firm manages over £1.5bn.
Alchemy is structured as an advisory business based in London, Alchemy Partners LLP, which advises a fund manager based in Guernsey, Alchemy Partners (Guernsey) Ltd."
American Capital,"American Capital, Ltd. was a publicly traded private equity and global asset management firm, trading on NASDAQ under the symbol ""ACAS"" from 1997 to 2017 and a component of the S&P 500 Index from 2007 to 2009.  American Capital was sold to Ares Management in 2017 at a sale price that totaled $4.1 billion.  For those investors who bought American Capital stock in its August 29, 1997 IPO, and held their shares through the sale of American Capital on January 3, 2017, they received a 14% compounded annual return including dividends (not reinvested).

"
American Industrial Partners,"American Industrial Partners is an American private equity partnership. It invests in industrial businesses in the United States and Canada. It was founded in 1988 by Theodore Rogers and Richard Bingham. It has offices in New York City; the managing partners are Kim Marvin, John Becker and Dino Cusumano."
American Securities,"American Securities LLC is an American private equity firm based in New York with an office in Shanghai that invests in market-leading North American companies with annual revenues generally ranging from $200 million to $2 billion and/or $50 million to $250 million of EBITDA. American Securities and its affiliates have approximately $23 billion under management. American Securities traces its roots to a family office founded in 1947 by William Rosenwald, the son of Julius Rosenwald, the longtime CEO of Sears, Roebuck and Co."
AnaCap Financial Partners,"AnaCap Financial Partners (AnaCap) is a London-based British private equity fund manager that invests in software, technology and services within the European financial sector.
Since January 2023, AnaCap has been led by Managing Partner Nassim Cherchali."
Antin Infrastructure Partners,"Antin Infrastructure Partners is a private equity firm with offices in Paris, London, New York, Luxembourg and Singapore. It has EUR 30.6 billion in assets under management as of December 2022. Antin invests in the energy & environment, digital technology, transportation, and social infrastructure sectors."
Apax Partners,"Apax Partners LLP is a British private equity firm, headquartered in London, England. The company also operates out of six other offices in New York, Hong Kong, Mumbai, Tel Aviv, Munich and Shanghai. As of March 2024, the firm had raised and advised funds of approximately US$77 billion. Apax Partners is one of the oldest and largest private equity firms operating on an international basis.
Apax invests across three sectors: technology, internet/consumer and services. It looks for investments in a target Enterprise Value of $100–5,000 million.
Apax raises capital for its investment funds through institutional investors including corporate and public pension funds, university and college endowments, foundations and fund of funds."
Apollo Global Management,"Apollo Global Management, Inc. is an American asset management firm that primarily invests in alternative assets. As of 2022, the company had $548 billion of assets under management, including $392 billion invested in credit, including mezzanine capital, hedge funds, non-performing loans, and collateralized loan obligations, $99 billion invested in private equity, and $46.2 billion invested in real assets, which includes real estate and infrastructure. The company invests money on behalf of pension funds, financial endowments, and sovereign wealth funds, as well as other institutional and individual investors.
Apollo was founded in 1990 by Leon Black, Josh Harris, and Marc Rowan, former investment bankers at the defunct Drexel Burnham Lambert. The company is headquartered in the Solow Building in New York City, with offices across North America, Europe, and Asia. Founder and CEO Leon Black resigned as CEO in 2021 in the wake of sexual misconduct allegations and revelations that he had paid $158 million to Jeffrey Epstein.
Among the most notable companies in which funds managed by the company have been invested are ADT Inc., CareerBuilder, Cox Media Group, Intrado, Legendary Entertainment, Rackspace Technology, Redbox, Shutterfly, Sirius Satellite Radio, Qdoba, Smart & Final, The Restaurant Group, University of Phoenix, and Yahoo Inc. In addition to its private funds, Apollo operates Apollo Investment Corporation (AIC), a US-domiciled publicly traded, private-equity, closed-end fund and Business Development Company. AIC provides mezzanine debt, senior secured loans, and equity investments to middle-market companies, including public companies, although it historically has not invested in companies controlled by Apollo's private-equity funds.
In June 2024, Apollo Global Management ranked 29th in Private Equity International's PEI 300 ranking among the world's largest private equity firms."
Arcapita,"Arcapita founded in 1997, is an asset management firm. Headquartered in Manama, Bahrain, Arcapita also operates from its offices in the United States, the United Kingdom, Saudi Arabia, and Singapore. The firm serves a group of investors in the Middle East region including investment firms, family offices, high net-worth individuals, and sovereign wealth funds. Arcapita completed over 100 investments in the United States, Europe, the Middle East, and Asia for a total transaction value exceeding $30 billion. The board of directors contain nine members, mainly from the Gulf Cooperation Council. Members are chairs, previous chairpersons, or current Chief Executive Officers of sovereign wealth funds, regional investment firms or global financial services firms."
Ares Management,"Ares Management Corporation is a global alternative investment manager operating in the credit, private equity and real estate markets. The company was founded in 1997 with additional offices across North America, Europe, and Asia.
As of September 2021, Ares Management Corporation's global platform had approximately $295 billion of assets under management and 1,500 employees operating across North America, Europe, Asia Pacific and the Middle East."
Assured Investment Management,"Assured Investment Management (AIM) was an institutional asset management firm with a heritage in credit strategies, managing approximately $15.2 billion as of its defunct status in July 2023. Secondaries Investors referred to AIM as ""one of the world's most prominent hedge funds"".
Previously known as BlueMountain Capital Management (BlueMountain), the firm was acquired by Assured Guaranty (AG) — a publicly traded financial services holding company headquartered in Bermuda — starting in 2019.
In 2023, the firm was acquired by Sound Point Capital Management (Sound Point), a privately held asset management company headquartered in United States."
Atlas Venture,"Atlas Venture is an early-stage venture capital firm that creates and invests in biotechnology startup companies in the U.S. Atlas is headquartered in Cambridge, Massachusetts, where the majority of its investments are located. Atlas raised its fourteenth fund totaling $450 million in December 2024, and raised its Opportunity Fund II totaling $300 million in September 2021."
Austin Ventures,"Austin Ventures (AV) is a private equity firm focused on venture capital and growth equity investments in business services and supply chain, financial services, new media, Internet, and information services companies nationally with a focus on Texas. The firm, which is based in Austin, Texas, was founded in 1984.  AV has raised approximately $3.9 billion since inception across ten private equity funds."
Avenue Capital Group,"Avenue Capital Group is an American multinational investment firm focusing on distressed securities and private equity with regional teams focusing on opportunities in the United States, Europe and Asia. The firm operates as both a private equity firm and as a hedge fund.  Avenue's core strategy is focused on distressed debt and equity securities although the firm also manages investment funds that focus on long-short opportunities, real estate, and collateralized debt obligations. The firm manages assets valued at approximately $9.5 billion. The firm was founded by former professionals of Amroc Investments, an affiliate of the Robert M. Bass Group.
The firm is headquartered in New York City, with offices in London, Luxembourg, Munich, Beijing, Hong Kong, New Delhi and Singapore. The firm has established an institutional-quality infrastructure in terms of accounting, compliance legal, investor relations, and information technology capabilities. Avenue has approximately 220 employees across its 8 offices worldwide.
Avenue's investment professionals seek ""good companies with bad balance sheets"" — firms with sustainable businesses and positive cash flow but whose financial situation is distressed. The investment team uses Avenue's top-down/bottom-up approach to find undervalued opportunities and typically seeks to make non-operational control investments in troubled businesses. This provides the strategy maximum trading flexibility and allows Avenue's investment professionals to focus on pre-investment research and analysis rather than post-investment operating issues.
From 2006 to 2009, Chelsea Clinton, daughter of former President of the United States Bill Clinton and former Secretary of State Hillary Clinton, worked as an associate at Avenue Capital Group LLC.
Bloomberg reported that as of February 28, 2010, Avenue Capital Group is the 13th largest hedge fund in the world."
Avista Capital Partners,"Avista Capital Partners, LLP is an American private equity firm headquartered in New York City focused on growth capital and leveraged buyout investments in middle-market companies in the domestic healthcare sector."
BC Partners,"BC Partners LLP is a British international investment firm with over $40 billion of assets under management across private equity, credit and real estate in Europe and North America. Its global headquarters are in London. The firm invests across all industries. BC Partners was founded in 1986 and has offices in New York, Paris and Hamburg. Since inception, BC Partners has completed 113 private equity investments in companies with a total enterprise value of €145 billion.
As one of the largest European private equity firms, BC Partners competes for buyouts and investment opportunities with other large cap private equity firms including Blackstone Group, KKR, CVC Capital Partners, Advent International and The Carlyle Group. The firm raised its eighth fund in 2005, which at the time made it the largest European buyout fund. Raised in less than five months, the fund was heavily oversubscribed. Investors in previous funds supplied 90% of the capital. The firm's most recent fund, BC Partners X, was one of the largest buyout funds raised in 2018. 
BC Partners was until recently majority shareholder of Intelsat, the global satellite services provider valued at US$16.6 billion in its leveraged buyout in 2007—one of the largest private equity buyouts of all time led by a consortium of investors including BC Partners and Silver Lake Partners. In 2008, BC Partners replaced Intelsat's chairman with Raymond Svider, BC's New York–based co-chairman. Sometime between 2008 and 2018, BC Partners sold all of Intelsat to the company."
BDT & MSD Partners,"BDT & MSD Partners is an American merchant bank that is co-headquartered in Chicago and New York City. The firm has both an advisory platform and an investment platform.

"
BIP Investment Partners,"BIP Investment Partners S.A. is an investment company based in Luxembourg City, in southern Luxembourg.  Its activities are divided between providing private equity to businesses, particularly venture capital to startups, and investing in large, well-established Luxembourg-based businesses
The company was founded in 2000 as a joint venture between Banque Générale du Luxembourg (BGL), later a part of Fortis Group, and now as the newly re-formed BGL and several smaller partners, under the name BGL Investment Partners, which was changed to 'BIP Investment Partners' in February 2006 after the rebranding of BGL.  BIP is listed on the Luxembourg Stock Exchange, where it is one of the ten component companies of the main LuxX Index stock market index."
Bain Capital,"Bain Capital, LP is an American private investment firm based in Boston, Massachusetts, with around $185 billion of assets under management. It specializes in private equity, venture capital, credit, public equity, impact investing, life sciences, crypto, tech opportunities, partnership opportunities, special situations, and real estate. Bain Capital invests across a range of industry sectors and geographic regions. The firm was founded in 1984 by partners from the consulting firm Bain & Company. The company is headquartered at 200 Clarendon Street in Boston with 24 offices in North America, Europe, Asia, and Australia.
Since its establishment, Bain Capital has invested in or acquired hundreds of companies, including AMC Theatres, Artisan Entertainment, Aspen Education Group, Apex Tool Group, Brookstone, Burger King, Burlington Coat Factory, Canada Goose, DIC Entertainment, Domino's Pizza, DoubleClick, Dunkin' Donuts, D&M Holdings, Guitar Center, Hospital Corporation of America (HCA), iHeartMedia, ITP Aero, KB Toys, Sealy, Sports Authority, Staples, Toys ""R"" Us, Virgin Australia, Virgin Voyages, Warner Music Group, Fingerhut, Athenahealth, The Weather Channel, Varsity Brands and Apple Leisure Group, which includes AMResorts and Apple Vacations. The company and its actions during its first 15 years became the subject of political and media scrutiny as a result of co-founder Mitt Romney's later political career, especially his 2012 presidential campaign.
In June 2023, Bain Capital was ranked 13th in Private Equity International's PEI 300 ranking of the largest private equity firms in the world."
Berkshire Partners,"Berkshire Partners LLC is an American private equity firm based in Boston. It has invested in over 100 middle market companies since 1986 through nine investment funds with aggregate capital commitments of more than $16 billion. Berkshire has developed specific industry experience in several areas including consumer products and retail, business services, communications, industrials and healthcare. The firm has invested over $50 million to $500 million of equity capital in each portfolio company.
Berkshire Partners typically makes equity investments of $50 million to $500 million in companies with enterprise values between $100 million and $1.5 billion. The firm seeks to partner with management teams to help grow their businesses and create long-term value."
Better Capital,Better Capital is a British Private equity firm founded by Jon Moulton in 2009.
Blackstone Inc.,"Blackstone Inc. is an American alternative investment management company based in New York City. It was founded in 1985 as a mergers and acquisitions firm by Peter Peterson and Stephen Schwarzman, who had previously worked together at Lehman Brothers. Blackstone's private equity business has been one of the largest investors in leveraged buyouts in the last three decades, while its real estate business has actively acquired commercial real estate across the globe. Blackstone is also active in credit, infrastructure, hedge funds, secondaries, growth equity, and insurance solutions. As of May 2024, Blackstone has more than $1 trillion in total assets under management, making it the world's largest alternative investment firm.

"
Blackstreet Capital Management,"Blackstreet Capital Management, LLC is a private equity firm that invests in and operates small to mid-sized distressed companies. It was founded in 2002 in Chevy Chase, Maryland,  by Murry Gunty, who still acts as managing partner."
Blue Owl Capital,"Blue Owl Capital Inc. is an American alternative investment asset management company. It is listed on the New York Stock Exchange under the ticker symbol: ""OWL"".
The company is headquartered in New York City with additional offices around the world, including London, Dubai, and Hong Kong, among other major cities.
In June 2024, Blue Owl Capital ranked 26th in Private Equity International's PEI 300 ranking among the world's largest private equity firms."
Blue Wolf Capital Partners,"Blue Wolf Capital Partners LLC is an American private equity firm based in New York City, New York, founded in 2005 by Adam Blumenthal and Josh Wolf-Powers. Blue Wolf's investments include middle-market companies in health care, forest and building products, as well as in the manufacturing, industrial, and engineering services sectors. The firm has raised four funds to date and manages more than $2.9 billion in capital as of the end of 2022."
Blum Capital,"Blum Capital Partners, L.P., also known as Blum Capital, is an American private equity firm founded in 1975 by Richard C. Blum. The firm is headquartered in San Francisco, California. It is focused on leveraged buyout, growth capital and PIPE investments in small cap and middle-market companies. Blum Capital became known for pioneering a hybrid strategy for investing in public companies, combining private equity and strategic block investment."
Bregal Sagemount,"Bregal Sagemount is a private equity firm based in New York City.

"
Brentwood Associates,"Brentwood Associates is a private equity firm in the US with groups focusing on leveraged buyout.
The firm, which is based in Los Angeles, was founded in 1972.  Their most recent fund was a $1.15bn fund raised in 2017. The venture capital group raised over $900 million across nine funds, the earliest of which was formed in 1980 and the last of which was raised in 1998, prior to the spinout of the firm's venture business."
Bridge Growth Partners,"Bridge Growth Partners (est. in 2013) is an American private equity fund that invests in technology and financial services companies. Bridge Growth's portfolio holdings include BackOffice Associates, Accedian, Finalsite, Salient CRGT, and Solace Corporation."
Bridgepoint Group,Bridgepoint Group plc is a British private investment company listed on the London Stock Exchange and is a constituent of the FTSE 250 Index.
Bridges Fund Management,"Bridges Fund Management Ltd. (or Bridges)  (Previously Bridges Ventures) is a fund manager that specialises in sustainable and impact investing. It invests in business, properties and social sector organisations, with a focus on four impact themes: health and wellbeing, education and skills, sustainable living and under-served markets."
"Bruckmann, Rosser, Sherrill & Co.","Bruckmann, Rosser, Sherrill & Co. is an American private equity firm focused on growth capital investments in middle-market companies in the consumer products, specialty retail and restaurant sectors.
The firm, which is based in New York City, was founded in 1995.  The firm has raised approximately $1.4 billion since inception across three funds.  The firm was founded by Bruce Bruckmann, Harold Rosser, and Stephen Sherrill, who had previously worked together as executives of Citicorp Venture Capital since as early as 1983.
Within the restaurant and retail sectors, BRS's notable investments have included Au Bon Pain, Bravo! Cucina Italiana, California Pizza Kitchen, Il Fornaio, Jitney Jungle, Lazy Days' RV Center, Logan's Roadhouse, McCormick & Schmick's, Real Mex Restaurants and Town Sports International Holdings.

In the consumer Products space, BRS has completed notable investments in AMF Bowling, B&G Foods, Doane Pet Care, Remington Arms and Totes»ISOTONER."
Brynwood Partners,"Brynwood Partners is an American private equity investment firm focused on leveraged buyout and other control investments.
Since its founding in 1984, the firm, headquartered in Greenwich, Connecticut, has raised five investment funds, including a $250 million fund in 2005. Through these funds, the company owns firms and brands including Juicy Juice, Balance Bar, and Pearson's Candy Company (Nut Goodie, Salted Nut Roll, Mint Patties, Bun Bars and Bit-O-Honey).
The company's managing partners include Hendrik ""Henk"" J. Hartong, Jr. (co-founder), who managed Air Express International in the mid-1980s until its 1.15-billion-dollar acquisition by Deutsche Post in 1999.
Other managing partners include Hendrik J. Hartong III, Ian B MacTaggart, Dario U. Margve, Kevin C. Hartnett, Joan Y. Mccabe and Nicholas DiCarlo (CFO)."
Business Growth Fund,"BGF Investment Management Limited, established in 2011 as the Business Growth Fund, is an investment company that provides venture capital for small and mid-sized businesses in the UK and Ireland.
From a network of 16 offices in the UK and Ireland, the company has invested more than £3 billion in more than 400 small and mid-sized companies. Around three-quarters of its investments have been in companies based outside London and South East England.
BGF typically takes minority, non-controlling shareholdings in investee companies. BGF has completed more than 150 exits by selling businesses in its portfolio."
Butterfly Equity,"Butterfly Equity, also known as BFLY, is an American private equity company based in Beverly Hills, California. Butterfly specializes in food investments, and is the owner of Qdoba, Bolthouse Farms, and Chosen Foods.
In 2021, Butterfly invested in MaryRuth Ghiyam's MaryRuth Organics, LLC, a health and wellness brand operating in the premium vitamins, minerals, and supplements."
CCMP Capital,"CCMP Capital Advisors, LP is an American private equity investment firm that focuses on leveraged buyout and growth capital transactions.  Formerly known as JP Morgan Partners, the investment professionals of JP Morgan Partners separated from JPMorgan Chase on July 31, 2006.  CCMP has invested approximately $12 billion in leveraged buyout and growth capital transactions since inception. In 2007, CCMP was ranked #17 among the world's largest private equity funds.
CCMP has 37 employees with offices in New York, London, Hong Kong and Tokyo. In 2008, CCMP hired Greg Brenneman as chairman.

"
CIVC Partners,"CIVC Partners, previously known as Continental Illinois Venture Corporation, is a Chicago-based private equity firm.
CIVC Partners provides growth and buyout capital to middle-market companies engaged in business services, utility and infrastructure services, facility services, transportation & logistics, outsourced services, environmental services, IT services, software & tech-enabled services, insurance services, compliance and risk management, digital marketing services and financial technology."
CVC Capital Partners,"CVC Capital Partners plc is a Jersey-based private equity and investment advisory firm with approximately €186 billion of assets under management and approximately €157 billion in secured commitments since inception across American, European, and Asian private equity, secondaries, credit funds and infrastructure. As of 31 December 2021, the funds managed or advised by CVC are invested in more than 100 companies worldwide, employing over 450,000 people in numerous countries. CVC was founded in 1981 and, as of 31 March 2022, has over 850 employees working across its network of 25 offices throughout EMEA, Asia and the Americas.
In 2023, it raised the largest ever raised private equity fund globally at €26 billion.
In June 2024, CVC Capital Partners ranked fourth in Private Equity International's PEI 300 ranking among the world's largest private equity firms."
Calera Capital,"Calera Capital is a private equity firm focused on investments in middle-market companies.  Founded in 1991, the firm is currently investing out of its fifth fund, Calera Capital Partners V, which was raised in 2017.  Calera Capital has offices in San Francisco and Boston."
Candover Investments,"Candover Investments plc. was a British-based, private equity firm, specialising in arranging and leading large buyouts and buyins. Candover Investments is structured as an investment trust. On 31 August 2010, Candover announced that it would unwind its assets and return money to shareholders and investors.
At its peak, Candover had offices in London, Paris, Madrid and Milan. Since 1980, Candover raised nine funds with total capital commitments of more than €8.7 billion.
On 19 April 2018, the Company was placed into members’ voluntary liquidation."
CapitalG,"CapitalG Management Company LLC (formerly Google Capital) is the independent growth fund under Alphabet Inc. Founded in 2013, it focuses on larger, growth-stage technology companies, and invests for profit rather than strategically for Google. In addition to capital investment, CapitalG's approach includes giving portfolio companies access to Google's people, knowledge, and culture to support the companies' growth and offer them guidance."
Captrust,"CAPTRUST is an American investment advisory company based in Raleigh, North Carolina. As of July 2022, it had roughly $100 billion of assets under management and $750 billion of assets under advisement.
As of July 2023, it employed around 1,300 people and had acquired 69 companies since 2006. In 2020, private equity firm GTCR purchased 25% of the company at a price implying a total value of $1.25 billion.
Captrust originated in the 1990s within Interstate/Johnson Lane as a Fielding Miller and David Perkins project. In 2002, Wachovia, which had acquired Interstate/Johnson Lane, spun it out."
Castle Harlan,"Castle Harlan is a private equity firm based in New York City. The company focuses on buyouts and growth capital investments in middle-market companies across a range of industries.  Founded in 1987, Castle Harlan invests in controlling interests in middle-market companies in North America and Europe, Australia and Southeast Asia through Castle Harlan Australian Mezzanine Partners.
Castle Harlan's team of 18 investment managers has completed over 50 acquisitions since its inception with a total value of approximately $10 billion.  The firm currently manages investment funds with equity commitments of approximately $3.5 billion.
Castle Harlan has invested, through its five domestic funds, in more than 55 platform businesses that totaled over $11 billion of enterprise value."
Category:Apax Partners,"Apax Partners — a large private equity firm also known as Alan Patricof Associates; and its predecessors Patricof & Co., Multinational Management Group (MMG), and Saunders Karp & Megrue"
Category:Apollo Global Management,Category for the private equity investment firm: Apollo Global Management
Category:Bain Capital,This category includes articles related to the private equity firm.
Category:Blackstone Inc.,
Category:CVC Capital Partners,Category for the private equity investment firm: CVC Capital Partners
Category:Cerberus Capital Management,
Category:Fenway Sports Group,
Category:Kohlberg Kravis Roberts,
Category:Madison Dearborn Partners,Category for the private equity investment firm: Madison Dearborn Partners
Category:Oaktree Capital Management,
Category:Permira,the private equity company
Category:Private equity companies of Jersey,
Category:Private equity companies of Norway,
"Category:Private equity firms based in Washington, D.C.",
Category:Private equity firms of Denmark,
Category:Private equity firms of France,
Category:Private equity firms of Greece,
Category:Private equity firms of Russia,
Category:Private equity firms of Sweden,Private equity firms of Sweden.
Category:Private equity firms of Switzerland,
Category:Private equity firms of the Netherlands,
Category:Private equity firms of the United Kingdom,
Category:Providence Equity Partners,This category includes related people and portfolio companies.
Category:Silver Lake (investment firm),This category includes related people and companies.
Category:TPG Capital,Category for the private equity investment firm TPG Capital (Texas Pacific Group):
Category:The Carlyle Group,
Category:United States private equity firm stubs,
Category:Venture capital firms of the United Kingdom,
Category:Venture capital firms of the United States,
Category:Warburg Pincus,
Centerbridge Partners,"Centerbridge Partners, L.P. is a multi-strategy private investment firm focused on leveraged buyouts and distressed securities.
The firm manages over $56 billion of assets and is based in New York City, with an additional office in London. The firm invests in both control (private equity and public debt with a ""loan-to-own"" strategy) and non-control (public market debt, public market equities, and other publicly traded securities) opportunities. 
The firm  was founded in 2005 by Jeffrey Aronson and Mark Gallogly.  Aronson had previously been the head of distressed securities and had founded the leveraged loan business at Angelo, Gordon & Co., which he had joined in 1989 from L.F. Rothschild & Co.  Gallogly was formerly a senior managing director and head of private equity investments at the Blackstone Group from 2003 until his departure.  At Blackstone, Gallogly was heavily involved in the firm's investments in New Skies Satellites and Sirius Satellite Radio among others and had joined the firm in 1989 from Manufacturers Hanover Trust Company, where he worked in acquisition finance.
In September 2006, the firm raised its debut fund with $3.2 billion of investor commitments to focus on control investments in distressed securities as well as leveraged buyout transactions.  The firm also raised a $2 billion non-control, activist-oriented credit trading fund known as Centerbridge Special Credit Partners through 2009 and 2010. In 2010, the firm announced plans to begin marketing a second investment fund with a target of $3.75 billion of investor commitments. In 2011, the firm closed its second flagship fund, Centerbridge Partners II, on $4.4 billion, including a commitment from the GP. This was followed by a closing of its $2bn second Special Credit Partners fund in March 2012.
In 2010, Centerbridge won control of Extended Stay Hotels, a company that Gallogly had been involved with at Blackstone. That same year, Centerbridge acquired 'GMAC Commercial Finance', a subsidiary of Ally Financial as well as Rock Bottom Restaurants and Gordon Biersch Brewery Restaurant Group, merged to form CraftWorks Restaurants & Breweries. In 2012, Centerbridge acquired P. F. Chang's China Bistro, a chain of Chinese casual dining restaurants. Three years later announced its agreement to buy Senvion SE from Indian wind turbine manufacturer Suzlon and acquired Great Wolf Resorts, the world's largest chain of indoor water park resorts for $1.35 billion.
In August 2016, Centerbridge Partners, together with Canyon Capital Advisors, Värde Partners and seven other funds, participates in the rescue of Spanish giant Abengoa, injecting a combined €1.17 billion.
In January 2017, Centerbridge Partners sells Vela Energy to Sonnedix for €600 million. Sonnedix thus takes over a portfolio of 136MWp, corresponding to 43 solar PV plants in Spain, making it the second largest solar PV operator in Spain and one of the largest in the world, with close to 500MW worldwide.
During the 2020 Democratic Party presidential primaries, Pete Buttigieg received scrutiny for accepting donations from members of Centerbridge due to the firm's ""reputation for its work buying up distressed debt in Puerto Rico."" Centerbridge sat on the steering committee of the Ad Hoc group, a group of hedge funds that litigated against the Puerto Rican government for full repayment on  constitutionally guaranteed general obligation bonds.
In the fall of 2020, Centerbridge took a minority stake in FreshDirect, an online grocer. The deal was part of a buyout of the company along with Dutch-based food retailer Ahold Delhaize."
Centerview Partners,"Centerview Partners is an American independent investment banking firm founded in 2006. Centerview operates primarily as an investment banking advisory firm with approximately 80 partners and 500 professionals advising across various industries, geographies, transaction structures, and deal sizes. The firm is headquartered in New York City with offices in London, Paris, Menlo Park and San Francisco."
Cerberus Capital Management,"Cerberus Capital Management, L.P. is an American global alternative investment firm with assets across credit, private equity,  and real estate strategies. The firm is based in New York City, and run by Steve Feinberg, who co-founded Cerberus in 1992, with William L. Richter, who serves as a senior managing director. The firm has affiliate and advisory offices in the United States, Europe and Asia.
Cerberus has around US$60 billion under management in funds and accounts.  The company is a U.S. Securities and Exchange Commission Registered Investment Adviser.  Investors include government and private sector pension and retirement funds, charitable foundations, university endowments, insurance companies, family savings and sovereign wealth funds."
